timestamp;robot_imu_accelerometer;robot_imu_gyroscope;robot_linear_velocity;robot_angular_velocity;battery_percentage
1743584664;0,165798|-0,133477|10,047866;-0,000266|0,000533|0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584664;0,155623|-0,140659|10,036493;-0,001332|-0,000133|0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584664;0,152032|-0,141258|10,038888;0,000000|0,000932|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584664;0,160412|-0,149039|10,035296;-0,000266|0,000666|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584664;0,150835|-0,129287|10,025720;0,000133|-0,000133|-0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584664;0,153827|-0,138864|10,047267;0,000399|0,000266|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584664;0,153827|-0,146046|10,043077;-0,000399|0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584664;0,151433|-0,128688|10,029909;-0,000266|0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584664;0,147842|-0,129885|10,038888;-0,000266|0,000266|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584665;0,151433|-0,135871|10,023924;0,000000|0,000399|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584665;0,148441|-0,131083|10,023924;-0,000266|0,000000|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584665;0,136469|-0,142455|10,035296;-0,000799|0,000133|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584665;0,159214|-0,136469|10,031106;0,000000|-0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584665;0,156820|-0,129287|10,034100;-0,000266|-0,000266|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584665;0,155025|-0,136469|10,038289;0,000399|0,000932|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584665;0,155025|-0,146046|10,028113;0,000000|0,000000|0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584665;0,153229|-0,135871|10,029311;-0,000533|-0,000533|0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584665;0,153229|-0,151433|10,033501;0,000000|0,000000|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584665;0,158017|-0,131681|10,037092;-0,000799|-0,000533|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584666;0,145448|-0,135871|10,032902;-0,000399|-0,001065|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584666;0,143054|-0,144251|10,039486;-0,000399|0,000133|0,001065;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584666;0,159214|-0,135272|10,034698;0,000266|-0,000399|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584666;0,155623|-0,131083|10,040085;0,000533|0,000666|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584666;0,152032|-0,138864|10,020332;0,000666|0,000533|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584666;0,157419|-0,131083|10,037690;-0,000399|0,000266|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584666;0,157419|-0,139462|10,038888;0,000266|0,000399|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584666;0,153229|-0,134674|10,034698;-0,000133|0,000000|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584666;0,146645|-0,124498|10,041881;-0,000399|-0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584666;0,168193|-0,131681|10,020332;0,000533|-0,000399|-0,001065;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584667;0,153827|-0,138864|10,025720;0,000266|0,000000|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584667;0,158017|-0,143054|10,035894;0,000399|-0,000133|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584667;0,148441|-0,143054|10,022727;0,000533|-0,000799|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584667;0,157419|-0,132878|10,031106;-0,000799|-0,000133|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584667;0,159214|-0,133477|10,037092;-0,000133|0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584667;0,156222|-0,146645|10,040683;-0,000932|-0,000533|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584667;0,153827|-0,129287|10,047267;0,000000|0,000000|-0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584667;0,156222|-0,149039|10,031705;-0,001065|0,000932|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584667;0,166397|-0,138265|10,041282;-0,000399|0,000266|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584667;0,151433|-0,147243|10,037690;0,000266|-0,000799|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584668;0,165200|-0,136469|10,032304;0,000666|-0,000133|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584668;0,151433|-0,134674|10,028113;-0,000266|0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584668;0,154426|-0,127491|10,026917;0,000533|-0,000266|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584668;0,150236|-0,142455|10,023924;0,000133|0,000932|-0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584668;0,164003|-0,130484|10,036493;-0,000266|0,000000|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584668;0,149039|-0,132878|10,023325;0,000666|-0,000266|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584668;0,164003|-0,132280|10,032902;-0,000133|0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584668;0,155623|-0,125696|10,040683;0,000266|0,000133|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584668;0,163404|-0,124498|10,049662;-0,000533|0,000000|0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584668;0,158017|-0,134674|10,038289;0,000000|-0,000399|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584669;0,155623|-0,128688|10,031106;-0,000266|0,000266|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584669;0,157419|-0,136469|10,047866;-0,000533|0,000000|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584669;0,156222|-0,133477|10,029909;-0,000399|0,000000|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584669;0,156222|-0,142455|10,037690;-0,001198|0,000000|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584669;0,156820|-0,129287|10,035894;0,000133|-0,000266|-0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584669;0,153229|-0,138265|10,028712;0,000133|0,000133|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584669;0,153827|-0,138265|10,046070;0,000799|-0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584669;0,158616|-0,129885|10,034100;0,000000|0,000666|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584669;0,152630|-0,129287|10,050260;-0,000799|-0,000533|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584669;0,162806|-0,134075|10,032304;0,000000|0,000133|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584670;0,159214|-0,145448|10,041282;-0,000133|-0,000133|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584670;0,161010|-0,137667|10,034100;0,000399|0,000266|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
