timestamp;robot_imu_accelerometer;robot_imu_gyroscope;robot_linear_velocity;robot_angular_velocity;battery_percentage
1743584763;0,153827|-0,131083|10,031705;0,001065|0,000666|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584763;0,150236|-0,126893|10,023924;0,000533|-0,000399|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584763;0,146046|-0,124498|10,034698;0,000399|-0,000932|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584763;0,153229|-0,140061|10,037092;-0,000399|-0,000399|0,000932;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584763;0,155025|-0,126294|10,038888;-0,000399|-0,000533|0,000932;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584763;0,156820|-0,134075|10,034100;0,000000|-0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584763;0,156222|-0,134674|10,043676;0,000266|0,000000|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584763;0,148441|-0,128090|10,037092;0,000666|0,000399|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584763;0,152630|-0,131681|10,029311;-0,000399|-0,000399|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584763;0,153827|-0,126893|10,042479;0,000533|0,000399|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584764;0,161609|-0,123900|10,020332;-0,000399|-0,000666|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584764;0,153827|-0,119112|10,029909;-0,001198|0,000399|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584764;0,160412|-0,131083|10,020931;-0,000399|-0,000533|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584764;0,166397|-0,128688|10,034100;-0,000133|0,000533|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
