timestamp;robot_imu_accelerometer;robot_imu_gyroscope;robot_linear_velocity;robot_angular_velocity;battery_percentage
1743072038;0,138864|-0,099958|10,032902;0,000000|0,000133|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072038;0,125696|-0,095170|10,034100;0,000266|-0,000399|0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072039;0,123301|-0,089184|10,038888;-0,000133|-0,000533|0,001065;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072039;0,129287|-0,094571|10,026318;0,000000|-0,000533|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072039;0,134674|-0,089783|10,024523;0,001065|0,000266|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072039;0,124498|-0,095768|10,044873;0,000133|-0,000266|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072039;0,131083|-0,100556|10,043077;-0,001465|-0,001065|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072039;0,119112|-0,089783|10,026318;0,000000|0,000266|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072039;0,121506|-0,096367|10,038888;0,000000|-0,000799|0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072039;0,131083|-0,093972|10,034698;-0,000133|-0,000533|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072039;0,124498|-0,098162|10,040683;0,000799|0,000533|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072039;0,137068|-0,096367|10,026318;0,000133|0,000000|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072040;0,125696|-0,095768|10,032304;0,000399|-0,000133|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072040;0,125097|-0,091578|10,038289;-0,000266|-0,000399|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072040;0,119112|-0,099359|10,037690;-0,000399|-0,000533|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072040;0,138265|-0,101754|10,043077;0,000000|0,000133|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072040;0,134674|-0,095170|10,035894;-0,000266|0,000533|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072040;0,125696|-0,097564|10,043077;-0,000533|0,000000|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072040;0,125696|-0,096965|10,043077;-0,000266|-0,000533|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072040;0,131083|-0,096367|10,041282;0,000266|0,000266|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072040;0,124498|-0,089184|10,031705;-0,000266|0,000133|-0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072040;0,125696|-0,096965|10,041881;-0,000266|0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072041;0,134075|-0,096965|10,036493;0,000000|-0,000399|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072041;0,120907|-0,098162|10,036493;-0,000399|0,000000|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072041;0,116717|-0,092177|10,025720;0,000533|0,000666|-0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072041;0,127491|-0,094571|10,035894;0,000000|0,000133|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072041;0,128688|-0,102352|10,043077;-0,000399|0,000399|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072041;0,131681|-0,089184|10,039486;-0,000133|-0,000533|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072041;0,132878|-0,094571|10,029909;-0,000533|0,000000|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072041;0,128090|-0,101155|10,036493;0,000799|0,000266|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072041;0,123301|-0,087987|10,038289;-0,000533|-0,000133|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072041;0,126893|-0,089184|10,044873;-0,000266|-0,000799|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072042;0,114323|-0,099359|10,032304;0,000000|-0,000533|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072042;0,132280|-0,102352|10,034698;0,000133|0,000399|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072042;0,126294|-0,090381|10,029909;0,000000|-0,001065|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072042;0,129885|-0,090381|10,030508;-0,000133|-0,000133|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072042;0,121506|-0,091578|10,044274;-0,000133|0,000000|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072042;0,137068|-0,098162|10,037092;0,000000|-0,000533|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072042;0,122703|-0,089783|10,038289;0,000266|-0,000266|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072042;0,132878|-0,089184|10,039486;0,000000|-0,000666|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072042;0,131083|-0,087388|10,031106;-0,000533|0,000399|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072042;0,132280|-0,095170|10,034698;-0,000533|-0,000399|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072043;0,128688|-0,091578|10,031106;-0,000266|0,000533|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072043;0,131083|-0,086191|10,031106;-0,000266|-0,000266|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072043;0,122703|-0,092177|10,030508;0,000000|0,000133|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072043;0,131083|-0,088585|10,038888;-0,000932|0,000133|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072043;0,134075|-0,092775|10,032902;-0,000533|0,000000|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072043;0,132878|-0,101754|10,032902;0,000000|-0,000266|0,000932;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072043;0,131083|-0,088585|10,025720;-0,000133|0,000133|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072043;0,125097|-0,098761|10,032304;-0,000133|-0,000133|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
1743072043;0,138864|-0,087388|10,039486;-0,000799|0,000666|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;75,000000;
